Practice_1,Practice_2,Category,Alpha_value,Beta_value,Gamma_value,Delta_incompatible,Reason
Zero Tillage (ZT),Crop Residue Retention,strong_pos,0.007486464,-11.8260524,1587.612799,0,Core conservation-agriculture synergy; residue mulch preserved under undisturbed soil.
Zero Tillage (ZT),Reduced / Minimum Tillage,zero_like,0.000613412,-2.120690422,-156.2615408,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Puddling Reduction,pos,0.003645009,-4.394282206,646.9757916,0,Both reduce soil structural disturbance and protect SOC.
Zero Tillage (ZT),Mid-Season Drainage (MSD),zero_like,-0.000556333,0.955867364,93.33503225,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Alternate Wetting and Drying (AWD),zero_like,4.30635E-05,1.225262181,56.10112107,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),System of Rice Intensification (SRI) Water Management,zero_like,-0.000560408,0.40081607,-115.0659121,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Balanced Inorganic NPK Fertilisation,zero_like,0.000572902,-0.054267295,-22.18348363,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Optimised / Variable-Rate N Application,zero_like,-0.000444084,1.328849281,-18.54353785,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Integrated Nutrient Management (INM) – Organic + Inorganic,strong_pos,0.006211604,-10.33072511,1533.077296,0,ZT protects aggregates while INM replenishes active C pools.
Zero Tillage (ZT),Green Manure Incorporation,zero_like,0.000238333,0.448622404,51.69852036,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Farmyard Manure (FYM) Application,zero_like,0.001396727,-0.441755453,-61.46912749,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Compost Application,zero_like,-0.000530721,0.669542851,135.4766751,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Biochar Application,zero_like,-7.43136E-05,-0.913213562,-98.93774588,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Rice Straw Incorporation with N Fertiliser,zero_like,0.0004243,0.807884969,65.1785122,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Crop Rotation and Diversification,zero_like,-0.000434028,0.252349264,14.0022971,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Early-Maturing / Low-Emission Variety Selection,zero_like,0.000142623,0.947205193,26.83146585,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),High-Biomass / Deep-Root Variety Selection,zero_like,0.00044277,0.07345551,34.69432784,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Deep Placement of N Fertiliser,zero_like,0.00041171,-1.583865022,-38.36054596,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Raised Bed + Zero Tillage System,X,0,0,0,1,Raised Bed + ZT is an advanced bundled form of ZT; treat as overlapping.
Crop Residue Retention,Reduced / Minimum Tillage,pos,0.002864731,-4.8852489,600.4743948,0,Reduced tillage helps preserve residue-derived SOC.
Crop Residue Retention,Puddling Reduction,pos,0.005428184,-5.230612567,824.2901038,0,Residue retention plus less aggressive wet tillage lowers life-cycle GHG burden.
Crop Residue Retention,Mid-Season Drainage (MSD),zero_like,-0.001097524,-0.364005467,19.53036781,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Alternate Wetting and Drying (AWD),strong_pos,0.007976039,-8.019072653,1598.336809,0,AWD mitigates CH4 amplification from residue retention under full flooding.
Crop Residue Retention,System of Rice Intensification (SRI) Water Management,zero_like,-0.000227429,-0.502556296,102.9571058,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Balanced Inorganic NPK Fertilisation,zero_like,-0.000124764,-1.386615569,-135.9944657,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Optimised / Variable-Rate N Application,zero_like,-0.000599643,0.540392113,17.09108833,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,0.000450317,-0.46440505,19.02476293,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Green Manure Incorporation,zero_like,0.000407994,-0.336246239,54.81302851,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Farmyard Manure (FYM) Application,zero_like,-0.000431691,-0.394623746,-45.80854728,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Compost Application,zero_like,-0.000779895,0.529317914,-56.32828082,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Biochar Application,zero_like,8.14834E-06,0.522550716,53.58374112,0,No explicit source interaction; treated as weak/additive.
