Practice_1,Practice_2,Category,Alpha_value,Beta_value,Gamma_value,Delta_incompatible,Reason
Zero Tillage (ZT),Crop Residue Retention,strong_pos,0.172188683,-271.9992053,1587.612799,0,Core conservation-agriculture synergy; residue mulch preserved under undisturbed soil.
Zero Tillage (ZT),Reduced / Minimum Tillage,zero_like,0.014108471,-48.77587972,-156.2615408,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Puddling Reduction,pos,0.083835212,-101.0684907,646.9757916,0,Both reduce soil structural disturbance and protect SOC.
Zero Tillage (ZT),Mid-Season Drainage (MSD),zero_like,-0.012795659,21.98494937,93.33503225,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Alternate Wetting and Drying (AWD),zero_like,0.00099046,28.18103017,56.10112107,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),System of Rice Intensification (SRI) Water Management,zero_like,-0.012889387,9.218769602,-115.0659121,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Balanced Inorganic NPK Fertilisation,zero_like,0.013176755,-1.248147775,-22.18348363,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Optimised / Variable-Rate N Application,zero_like,-0.010213943,30.56353347,-18.54353785,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Integrated Nutrient Management (INM) – Organic + Inorganic,strong_pos,0.142866887,-237.6066775,1533.077296,0,ZT protects aggregates while INM replenishes active C pools.
Zero Tillage (ZT),Green Manure Incorporation,zero_like,0.005481661,10.31831529,51.69852036,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Farmyard Manure (FYM) Application,zero_like,0.032124714,-10.16037541,-61.46912749,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Compost Application,zero_like,-0.012206591,15.39948556,135.4766751,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Biochar Application,zero_like,-0.001709212,-21.00391192,-98.93774588,0,No explicit source interaction; treated as weak/additive.
