Practice,Net_CSP_base,Net_OC_per_ha,Base_yield_change
Crop Residue Retention,1.1,-3500,0.15
Reduced / Minimum Tillage,0.32,-2000,-0.1
Mid-Season Drainage (MSD),0.4,-2000,-0.1
Alternate Wetting and Drying (AWD),0.55,-2000,0.05
System of Rice Intensification (SRI) Water Management,0.6,0,0.3
Optimised / Variable-Rate N Application,0.35,3000,0.1
Integrated Nutrient Management (INM) – Organic + Inorganic,0.85,0,0.1
Manure Application,0.5,3000,0.12
Biochar Application,2.2,10000,0.3
Raised Bed Cultivation,1.5,15000,0.45
Early-Maturing / Low-Emission Variety Selection,0.3,-2000,0.0
High-Biomass / Deep-Root Variety Selection,0.7,-2000,0.1
