Practice,Net_CSP_base,CSP_low_10pct,CSP_high_10pct,Net_OC
Zero Tillage (ZT),1.2,1.08,1.32,-3500
Crop Residue Retention,1.1,0.99,1.21,-3500
Reduced / Minimum Tillage,0.32,0.288,0.352,-2000
Puddling Reduction,0.25,0.225,0.275,-2000
Mid-Season Drainage (MSD),0.4,0.36,0.44,-2000
Alternate Wetting and Drying (AWD),0.55,0.495,0.605,-2000
System of Rice Intensification (SRI) Water Management,0.6,0.54,0.66,0
Balanced Inorganic NPK Fertilisation,0.25,0.225,0.275,0
Optimised / Variable-Rate N Application,0.35,0.315,0.385,3000
Integrated Nutrient Management (INM) – Organic + Inorganic,0.85,0.765,0.935,0
Green Manure Incorporation,0.45,0.405,0.495,-2000
Farmyard Manure (FYM) Application,0.33,0.297,0.363,0
Compost Application,0.5,0.45,0.55,3000
Biochar Application,2.2,1.98,2.42,8000
Rice Straw Incorporation with N Fertiliser,0.95,0.855,1.045,-2000
Crop Rotation and Diversification,1.1,0.99,1.21,0
Early-Maturing / Low-Emission Variety Selection,0.3,0.27,0.33,-2000
High-Biomass / Deep-Root Variety Selection,0.7,0.63,0.77,-2000
Deep Placement of N Fertiliser,0.3,0.27,0.33,0
Raised Bed + Zero Tillage System,2.5,2.25,2.75,3000
